中文标签,英文标签,数据类型
卫星代号,xml_satellite_id,string
载荷,xml_sensor_id,string
左上纬度,xml_top_left_latitude,decimal
左上经度,xml_top_left_longitude,decimal
右上纬度,xml_top_right_latitude,decimal
右上经度,xml_top_right_longitude,decimal
中心纬度,xml_center_latitude,decimal
中心经度,xml_center_longitude,decimal
右下纬度,xml_bottom_right_latitude,decimal
右下经度,xml_bottom_right_longitude,decimal
左下纬度,xml_bottom_left_latitude,decimal
左下经度,xml_bottom_left_longitude,decimal
接收地面站代号,xml_receive_station_id,string
轨道圈号,xml_orbit_number,int
观测轨道,xml_orbit_number,int
景Path,xml_scene_path,int
景中心的path值,xml_scene_path,int
景ROW,xml_scene_row,int
景中心的row值,xml_scene_row,int
星下点PATH,xml_sat_path,int
星下点的path值,xml_sat_path,int
星下点ROW,xml_sat_row,int
星下点的row值,xml_sat_row,int
开始时间,xml_start_time,datetime
结束时间,xml_end_time,datetime
产品级别,xml_level,string
景号,xml_scene_id,string
产品号,basic_product_id,int
产品谱段数,xml_bands_count,int
生产时间,xml_produce_time,datetime
产品分辨率,xml_image_gsd,decimal
产品格式,xml_product_format,string
云覆盖量,xml_cloud_percent,int
云覆盖率,xml_cloud_percent,int
重采样方法,xml_resampling_kernel,string
高程模型,xml_height_mode,string
卫星平台平均航偏角,xml_yaw_satellite_angle,decimal
卫星平台平均俯仰角,xml_pitch_satellite_angle,decimal
卫星平台滚动角,xml_roll_satellite_angle,decimal
卫星平台平均滚动角,xml_roll_satellite_angle,decimal
卫星方位角,xml_satellite_azimuth,decimal
卫星高度角,xml_satellite_zenith,decimal
太阳方位角,xml_solar_azimuth,decimal
太阳高度角/天顶角,xml_solar_zenith,decimal
增益模式,xml_gain_mode,string
积分时间,xml_integration_time,string
